Sport,Conference,Team,Marketing Blurb
NCAA Basketball,Mountain West,New Mexico,This could be the year New Mexico wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Mountain West,San Diego State,This could be the year San Diego State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Mountain West,TCU,This could be the year TCU wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Mountain West,UNLV,This could be the year UNLV wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Mountain West,Utah,This could be the year Utah wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Mountain West,Wyoming,This could be the year Wyoming wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Central Connecticut State,This could be the year Central Connecticut State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Fairleigh Dickinson,This could be the year Fairleigh Dickinson wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,LIU-Brooklyn,This could be the year LIU-Brooklyn wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Monmouth,This could be the year Monmouth wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Mount St. Mary's,This could be the year Mount St. Mary's wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Quinnipiac,This could be the year Quinnipiac wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Robert Morris,This could be the year Robert Morris wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Sacred Heart,This could be the year Sacred Heart wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,St. Francis (N.Y.),This could be the year St. Francis (N.Y.) wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,St. Francis (Pa.),This could be the year St. Francis (Pa.) wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Northeast,Wagner,This could be the year Wagner wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Austin Peay,This could be the year Austin Peay wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Eastern Illinois,This could be the year Eastern Illinois wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Eastern Kentucky,This could be the year Eastern Kentucky wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Jacksonville State,This could be the year Jacksonville State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Morehead State,This could be the year Morehead State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Murray State,This could be the year Murray State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Samford,This could be the year Samford wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Southeast Missouri State,This could be the year Southeast Missouri State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Tennessee State,This could be the year Tennessee State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Tennessee Tech,This could be the year Tennessee Tech wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Ohio Valley,Tennessee-Martin,This could be the year Tennessee-Martin wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Arizona,This could be the year Arizona wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Arizona State,This could be the year Arizona State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,California,This could be the year California wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Oregon,This could be the year Oregon wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Oregon State,This could be the year Oregon State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Southern California,This could be the year Southern California wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Stanford,This could be the year Stanford wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,UCLA,This could be the year UCLA wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Washington,This could be the year Washington wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,PAC-10,Washington State,This could be the year Washington State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,American,This could be the year American wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Army,This could be the year Army wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Bucknell,This could be the year Bucknell wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Colgate,This could be the year Colgate wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Holy Cross,This could be the year Holy Cross wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Lafayette,This could be the year Lafayette wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Lehigh,This could be the year Lehigh wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Patriot League,Navy,This could be the year Navy wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Alabama,This could be the year Alabama wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Arkansas,This could be the year Arkansas wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Auburn,This could be the year Auburn wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Florida,This could be the year Florida wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Georgia,This could be the year Georgia wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Kentucky,This could be the year Kentucky wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,LSU,This could be the year LSU wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Mississippi,This could be the year Mississippi wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Mississippi State,This could be the year Mississippi State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,South Carolina,This could be the year South Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Tennessee,This could be the year Tennessee wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SEC,Vanderbilt,This could be the year Vanderbilt wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Appalachian State,This could be the year Appalachian State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Chattanooga,This could be the year Chattanooga wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,College of Charleston,This could be the year College of Charleston wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Davidson,This could be the year Davidson wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Elon,This could be the year Elon wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Furman,This could be the year Furman wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Georgia Southern,This could be the year Georgia Southern wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,NC-Greensboro,This could be the year NC-Greensboro wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,The Citadel,This could be the year The Citadel wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Western Carolina,This could be the year Western Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southern,Wofford,This could be the year Wofford wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Central Arkansas,This could be the year Central Arkansas wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Lamar,This could be the year Lamar wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,McNeese State,This could be the year McNeese State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Nichols State,This could be the year Nichols State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Northwestern State,This could be the year Northwestern State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Sam Houston State,This could be the year Sam Houston State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Southeastern Louisiana,This could be the year Southeastern Louisiana wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Stephen F. Austin,This could be the year Stephen F. Austin wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Texas A&M-Corpus Christi,This could be the year Texas A&M-Corpus Christi wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Texas State-San Marcos,This could be the year Texas State-San Marcos wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Texas-Arlington,This could be the year Texas-Arlington wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Southland,Texas-San Antonio,This could be the year Texas-San Antonio wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Arkansas State,This could be the year Arkansas State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Arkansas-Little Rock,This could be the year Arkansas-Little Rock wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Denver,This could be the year Denver wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Florida Atlantic,This could be the year Florida Atlantic wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Florida International,This could be the year Florida International wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Louisiana-Lafayette,This could be the year Louisiana-Lafayette wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Louisiana-Monroe,This could be the year Louisiana-Monroe wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Middle Tennessee,This could be the year Middle Tennessee wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,New Orleans,This could be the year New Orleans wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,North Texas,This could be the year North Texas wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,South Alabama,This could be the year South Alabama wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Troy,This could be the year Troy wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,Sun Belt,Western Kentucky,This could be the year Western Kentucky wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Alabama A&M,This could be the year Alabama A&M wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Alabama State,This could be the year Alabama State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Alcorn State,This could be the year Alcorn State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Arkansas-Pine Bluff,This could be the year Arkansas-Pine Bluff wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Grambling,This could be the year Grambling wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Jackson State,This could be the year Jackson State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Mississippi Valley State,This could be the year Mississippi Valley State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Prairie View A&M,This could be the year Prairie View A&M wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Southern,This could be the year Southern wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,SWAC,Texas Southern,This could be the year Texas Southern wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Boise State,This could be the year Boise State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Fresno State,This could be the year Fresno State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Hawaii,This could be the year Hawaii wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Louisiana Tech,This could be the year Louisiana Tech wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Nevada,This could be the year Nevada wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,New Mexico State,This could be the year New Mexico State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,San Jose State,This could be the year San Jose State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAC,Utah State,This could be the year Utah State wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WAS,Idaho,This could be the year Idaho wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,Gonzaga,This could be the year Gonzaga wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,Loyola-Marymount,This could be the year Loyola-Marymount wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,Pepperdine,This could be the year Pepperdine wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,Portland,This could be the year Portland wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,San Diego,This could be the year San Diego wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,San Francisco,This could be the year San Francisco wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,Santa Clara,This could be the year Santa Clara wins it all!  And you can be there if you buy a policy now!
NCAA Basketball,WCC,St. Mary's,This could be the year St. Mary's wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Boston College,This could be the year Boston College wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Clemson,"Coach Tommy Bowden finds lofty expectations awaiting his Tigers yet again in 2008.  And with Cullen Harper at QB and the tag-team RB combo of James Davis and C.J. Spiller, why not?  Will Bowden and Clemson finally get over the ACC hump and into the national championship discussion?"
NCAA Football,ACC,Duke,This could be the year Duke wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Florida State,Will Drew Weatherford develop some consistency in year two of the Jimbo Fisher project?  A brutal ACC slate coupled with non-conference clashes against Colorado and Florida could thrust the ‘Noles back into the national spotlight and the championship conversation.
NCAA Football,ACC,Georgia Tech,This could be the year Georgia Tech wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Maryland,This could be the year Maryland wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Miami (Fla.),This could be the year Miami (Fla.) wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,North Carolina,This could be the year North Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,North Carolina State,This could be the year North Carolina State wins it all!  And you can be there if you buy a policy now!
NCAA Football,ACC,Virginia,"Virginia will learn whether or not it is a legit national title contender in week 1 when Pete Carroll and the Trojans come calling.  Replacing top NFL Draft picks, Chris Long and Branden Albert will be tough, but Al Groh didn’t earned 2007 ACC Coach of the Year honors for nothing."
NCAA Football,ACC,Virginia Tech,"Tyrod Taylor could be the best QB is Blacksburg since Michael Vick, who also happens to be the last guy to lead the Hokies to the national title game.  An impressive win over the Huskers in Lincoln and their typical ACC run could put Coach Beamer in place to claim his first BCS crown."
NCAA Football,ACC,Wake Forest,This could be the year Wake Forest wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,Cincinnati,This could be the year Cincinnati wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,Connecticut,"Wait, this is a football column, right?  Don’t laugh.  UCONN was a win away from claiming the Big East title in ’07 and crashing the BCS party.  With 18 returning starters and a laugher of a schedule, the Huskies could be chuckling all the way to Miami."
NCAA Football,Big East,Louisville,This could be the year Louisville wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,Pittsburgh,This could be the year Pittsburgh wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,Rutgers,This could be the year Rutgers wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,South Florida,"Many college football “experts” laughed at South Florida a year ago.  After ascending to No. 2 in the polls in 2007, nobody’s laughing anymore.  QB Matt Grothe and DE George Selvie look to propel USF back to the top of the polls and remain there in 2008."
NCAA Football,Big East,Syracuse,This could be the year Syracuse wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big East,West Virginia,"RB Steve Slaton is gone to the NFL and Rich Rodriguez is now sporting Big Blue, but QB Pat White and speedster Noel Devine should pick up the slack.  Can Bill Stewart follow in Larry Coker’s footsteps and win a BCS crown in his first season as a head coach?"
NCAA Football,Big Ten,Illinois,"OK, so Rashard Mendenhall is gone, but with potential All-Americans Juice Williams and Arrelious Benn leading the charge, the Illini should be potent once again on offense.  Can Ron Zook exorcize the demons he carried from Gainesville by leading Illinois to its first national title since Calvin Coolidge occupied the Oval Office."
NCAA Football,Big Ten,Indiana,This could be the year Indiana wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Iowa,This could be the year Iowa wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Kansas,"2007’s Cinderella is still flying high and with the help of 17 returning starters from an Orange Bowl championship team, there is no reason to think the Jayhawks’ joyride might end anytime soon.  If the Jayhawks soar past the Sooners in Norman, and Mark Mangino could wear that glass slipper right back to Miami."
NCAA Football,Big Ten,Michigan,This could be the year Michigan wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Michigan State,This could be the year Michigan State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Minnesota,This could be the year Minnesota wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Northwestern,This could be the year Northwestern wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Ohio State,"With 19 starters returning from the 2007 squad that reached the BCS National Championship Game, The Vest & Co. are primed to make a run at the ’08 crown.  Will the Buckeyes earn their third straight trip to the Championship Game?"
NCAA Football,Big Ten,Penn State,"The Nittany Lions have failed to meet lofty preseason expectations the past two seasons, but 2008 could be different.  With 19 returning starters leading the way, if JoePa finds a leader to replace LB Dan Connor, he could find himself back in the national title hunt."
NCAA Football,Big Ten,Purdue,This could be the year Purdue wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big Ten,Wisconsin,"Kansas State transfer Allan Evridge steps under center to replace departed QB Tyler Donovan.  A healthy P.J. Hill will make that transition smoother and a trip to Miami more likely.  Oh, and 19 returning starters from a team that won 9 games and earned a trip to the Outback Bowl doesn’t hurt either."
NCAA Football,Big XII,Baylor,This could be the year Baylor wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Colorado,This could be the year Colorado wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Iowa State,This could be the year Iowa State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Kansas,This could be the year Kansas wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Kansas State,This could be the year Kansas State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Missouri,"The Tigers were a win in the Big XII title game away from playing for it all last season.  With Chase Daniel as a Heisman candidate and Oklahoma off the schedule, this could be the year Mizzou claims its first football national championship in school history."
NCAA Football,Big XII,Nebraska,This could be the year Nebraska wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Oklahoma,"Aided by the nation’s best O-Line, Sam Bradford is poised to lead another potent Sooners offensive attack.  Throw in a weak non-conference schedule and Coach Stoops could bring the crystal ball back to Norman for the first time since 2000."
NCAA Football,Big XII,Oklahoma State,This could be the year Oklahoma State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Texas,"Let’s be honest, the Longhorns have a lot of work to do.  Four starters return from a bad defense (109th in pass defense) and the offense was raided by the NFL Draft.  The sliver lining?  The ‘Horns are loaded with young talent and new Defensive Coordinator Will Muschamp should shape up the D in Austin.  A little Major Applewhite karma should help too."
NCAA Football,Big XII,Texas A & M,This could be the year Texas A & M wins it all!  And you can be there if you buy a policy now!
NCAA Football,Big XII,Texas Tech,"Look for the combo of QB Graham Harrell and reigning Biletnikoff Award winner Michael Crabtree to rewrite the Red Raider record books in ’08.  If a suspect defense can handle a home date with Texas and a trip to Norman, the Red Raiders should have an opportunity to play for it all."
NCAA Football,C-USA,Central Florida,This could be the year Central Florida wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,East Carolina,This could be the year East Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Houston,This could be the year Houston wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Marshall,This could be the year Marshall wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Memphis,This could be the year Memphis wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Rice,This could be the year Rice wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Southern Methodist,This could be the year Southern Methodist wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Southern Mississippi,This could be the year Southern Mississippi wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Texas-El Paso,This could be the year Texas-El Paso wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Tulane,This could be the year Tulane wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,Tulsa,This could be the year Tulsa wins it all!  And you can be there if you buy a policy now!
NCAA Football,C-USA,UAB,This could be the year UAB wins it all!  And you can be there if you buy a policy now!
NCAA Football,Independent,Army,This could be the year Army wins it all!  And you can be there if you buy a policy now!
NCAA Football,Independent,Navy,This could be the year Navy wins it all!  And you can be there if you buy a policy now!
NCAA Football,Independent,Notre Dame,This could be the year Notre Dame wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Akron,This could be the year Akron wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Ball State,This could be the year Ball State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Bowling Green,This could be the year Bowling Green wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Buffalo,This could be the year Buffalo wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Central Michigan,This could be the year Central Michigan wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Eastern Michigan,This could be the year Eastern Michigan wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Kent State,This could be the year Kent State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Miami (Ohio),This could be the year Miami (Ohio) wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Northern Illinois,This could be the year Northern Illinois wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Ohio,This could be the year Ohio wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Temple,This could be the year Temple wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Toledo,This could be the year Toledo wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mid-American,Western Michigan,This could be the year Western Michigan wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,Air Force,This could be the year Air Force wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,Brigham Young,This could be the year Brigham Young wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,Colorado State,This could be the year Colorado State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,New Mexico,This could be the year New Mexico wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,San Diego State,This could be the year San Diego State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,TCU,This could be the year TCU wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,UNLV,This could be the year UNLV wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,Utah,This could be the year Utah wins it all!  And you can be there if you buy a policy now!
NCAA Football,Mountain West,Wyoming,This could be the year Wyoming wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Arizona,This could be the year Arizona wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Arizona State,Dennis Erickson won two national titles in his first three seasons at Miami and led Oregon State to a Fiesta Bowl win in year two in Corvallis.  QB Rudy Carpenter is back to help Erickson’s string of success in year two continue in the Tempe.
NCAA Football,PAC-10,California,This could be the year California wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Oregon,This could be the year Oregon wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Oregon State,This could be the year Oregon State wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Southern California,"Although they return only five starters from a Rose Bowl Championship team, Pete Carroll has proven the Trojans don’t rebuild, they reload.  An early season test versus Ohio State could be all that stands in the way of Troy taking on South Beach."
NCAA Football,PAC-10,Stanford,This could be the year Stanford wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,UCLA,This could be the year UCLA wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Washington,This could be the year Washington wins it all!  And you can be there if you buy a policy now!
NCAA Football,PAC-10,Washington State,This could be the year Washington State wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,Alabama,"The Honeymoon between Saint Nick and the Crimson Tide faithful is over.  Saban won the SEC crown in year two at LSU and Bama fans are expecting nothing less in 2008.  Throw in the success of the past two SEC champs (Florida, LSU) and Saban could be raising a crystal ball over Tuscaloosa."
NCAA Football,SEC,Arkansas,This could be the year Arkansas wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,Auburn,"Only Tommy Tuberville can lose his senior QB, both coordinators and still have a legitimate shot to win the SEC.  How quickly Kodi Burns and Blake Field pick up Tony Franklin’s offense will determine how the Tigers celebrate New Year’s Day."
NCAA Football,SEC,Florida,"With reigning Heisman Trophy winner Tim Tebow and lightning-quick Percy Harvin pacing the offense, Florida is the team to beat in the SEC.  If they get by the ‘Dawgs Nov. 1, the Gators could be swimming to Miami."
NCAA Football,SEC,Georgia,"Arguably the nation’s most dangerous team at the end of the ’07 season, Coach Richt argued that his Bulldogs were snubbed by the BCS.  Knowshon Moreno and Matthew Stafford will look to leave no doubt in ’08 and bring UGA its first football national championship since Herschel was donning the Silver Britches."
NCAA Football,SEC,Kentucky,This could be the year Kentucky wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,LSU,The 2007 National Champs look to defend their title with arguably the best O-Line in school history.  A stable of running backs and a top 10 defense should take pressure off of inexperienced QBs Andrew Hatch and Jarrett Lee.  Will it be enough for a BCS repeat?
NCAA Football,SEC,Mississippi,This could be the year Mississippi wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,Mississippi State,This could be the year Mississippi State wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,South Carolina,This could be the year South Carolina wins it all!  And you can be there if you buy a policy now!
NCAA Football,SEC,Tennessee,"Despite immense criticism on Head Coach Phillip Fulmer, the Vols were a 4th quarter INT for a touchdown away from dashing LSU’s national title hopes and returning to a BCS game themselves in 2007.   If new starting QB Jonathan Cromptom can weather the SEC storm, Smokey could be howling Rocky Top in Miami."
NCAA Football,SEC,Vanderbilt,This could be the year Vanderbilt wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Arkansas State,This could be the year Arkansas State wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Florida Atlantic,This could be the year Florida Atlantic wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Florida International,This could be the year Florida International wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Louisiana-Lafayette,This could be the year Louisiana-Lafayette wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Louisiana-Monroe,This could be the year Louisiana-Monroe wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Middle Tennessee,This could be the year Middle Tennessee wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,North Texas,This could be the year North Texas wins it all!  And you can be there if you buy a policy now!
NCAA Football,Sun Belt,Troy,This could be the year Troy wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,Boise State,Could the Broncos break through and become the first non-BCS conference school to earn a spot in the BCS title game?  A season-opening trip to Autzen Stadium will answer that question.
NCAA Football,WAC,Fresno State,This could be the year Fresno State wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,Hawaii,This could be the year Hawaii wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,Idaho,This could be the year Idaho wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,Louisiana Tech,This could be the year Louisiana Tech wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,Nevada,This could be the year Nevada wins it all!  And you can be there if you buy a policy now!
NCAA Football,WAC,New Mexico State,This could be the year New Mexico State wins it all!  And you can be there if you buy a policy now!
